title,title_english,title_romaji,title_native,year,season,format,episodes,canonical_key,mal_id,anilist_id,kitsu_id,anidb_id,imdb_id,tvdb_id,tmdb_id,simkl_id,status,progress,score,last_updated,source
Mizu Zokusei no Mahoutsukai,The Water Magician: The Central Provinces Arc,Mizu Zokusei no Mahoutsukai,水属性の魔法使い,2025,SUMMER,TV,12,kitsu_49493,60732,186052,49493,19097,tt36592736,456435,281615,,watching,0,0,2026-07-05T13:27:14.888000+00:00,
Mo Dao Zu Shi,The Founder of Demonic Path,Mo Dao Zu Shi,Madou Soshi (魔道祖師),2018,SUMMER,ONA,15,mal_37208,37208,101972,41036,14162,tt9005728,341295,80732,844067,completed,15,0,2026-07-21T18:20:08+00:00,
Mo Dao Zu Shi,The Founder of Demonic Path,Mo Dao Zu Shi,Madou Soshi (魔道祖師),2018,SUMMER,ONA,15,kitsu_41036,37208,101972,41036,14162,tt9005728,341295,80732,,watching,1,0,2026-06-30T12:01:24.427000+00:00,
Mo Dao Zu Shi: Wanjie Pian,The Founder of Diabolism: The Final Season,Mo Dao Zu Shi: Wanjie Pian,魔道祖师,2021,SUMMER,ONA,12,mal_40434,40434,121467,43083,16618,tt9005728,341295,80732,1727409,plantowatch,0,0,2026-08-07T21:10:41.801616+00:00,
Mo Dao Zu Shi: Wanjie Pian,The Founder of Diabolism: The Final Season,Mo Dao Zu Shi: Wanjie Pian,魔道祖师,2021,SUMMER,ONA,12,kitsu_43083,40434,121467,43083,16618,tt9005728,341295,80732,,plantowatch,0,0,2026-06-30T11:57:18.467000+00:00,
Mo Dao Zu Shi: Xian Yun Pian,The Founder of Diabolism: The Reborn,Mo Dao Zu Shi: Xian Yun Pian,魔道祖师 (2019),2019,SUMMER,ONA,8,mal_38450,38450,104458,42163,14428,tt9005728,341295,80732,923343,completed,8,0,2026-07-21T18:20:08+00:00,
Mo Dao Zu Shi: Xian Yun Pian,The Founder of Diabolism: The Reborn,Mo Dao Zu Shi: Xian Yun Pian,魔道祖师 (2019),2019,SUMMER,ONA,8,kitsu_42163,38450,104458,42163,14428,tt9005728,341295,80732,,watching,1,0,2026-06-30T12:01:52.742000+00:00,
Mob Psycho 100,Mob Psycho One Hundred,Mob Psycho 100,モブサイコ100,2016,SUMMER,TV,12,mal_32182,32182,21507,11578,11803,tt5897304,307375,67075,541198,plantowatch,0,0,2026-08-07T21:10:41.801272+00:00,
Mob Psycho 100,Mob Psycho One Hundred,Mob Psycho 100,モブサイコ100,2016,SUMMER,TV,12,kitsu_11578,32182,21507,11578,11803,tt5897304,307375,67075,,plantowatch,0,0,2024-11-22T15:27:57.515000+00:00,
Mononoke Hime,A Princesa Mononoke,Mononoke Hime,もののけ姫,1997,SUMMER,MOVIE,1,mal_164,164,164,142,7,tt0119698,,[128],36228,completed,1,0,2026-07-21T10:00:05+00:00,
